http://114.238.59.74:4000/rtp/239.49.0.25:8192,# 0.16MB/s | 1603ms
http://112.109.206.183:9999/rtp/239.255.40.37:8208,# 0.16MB/s | 1603ms
http://112.109.206.183:9999/rtp/239.255.40.199:8208,# 0.16MB/s | 1604ms
http://112.109.206.183:9999/rtp/239.255.40.197:8208,# 0.16MB/s | 1604ms
http://112.192.73.47:8484/rtp/239.0.0.53:5140,# 0.16MB/s | 1604ms
http://218.86.184.61:8188/rtp/238.255.2.26:5999,# 0.16MB/s | 1605ms
http://123.118.56.249:8686/rtp/239.3.1.125:8001,# 0.16MB/s | 1605ms
http://60.4.30.55:8077/rtp/239.253.92.196:6061,# 0.16MB/s | 1605ms
http://171.8.84.159:8800/rtp/239.16.20.175:11750,# 0.16MB/s | 1605ms
http://114.226.212.148:8787/rtp/239.49.8.120:8000,# 0.16MB/s | 1606ms
http://124.112.189.152:4022/rtp/238.1.78.103:6696,# 0.16MB/s | 1607ms
http://171.8.84.159:8800/rtp/239.16.20.115:11150,# 0.16MB/s | 1608ms
http://112.109.206.183:9999/rtp/239.255.40.172:8208,# 0.16MB/s | 1609ms
http://39.77.162.237:4002/rtp/239.253.254.110:8000,# 0.16MB/s | 1609ms
http://123.118.56.249:8686/rtp/239.3.1.132:8012,# 0.16MB/s | 1609ms
http://123.118.56.249:8686/rtp/239.3.1.174:8001,# 0.16MB/s | 1611ms
http://60.4.30.55:8077/rtp/239.253.92.10:6053,# 0.16MB/s | 1612ms
http://123.118.56.249:8686/rtp/239.3.1.154:8001,# 0.16MB/s | 1612ms
http://112.192.73.47:8484/rtp/239.0.0.61:5140,# 0.16MB/s | 1612ms
http://124.112.189.152:4022/rtp/238.1.78.102:6688,# 0.15MB/s | 1613ms
http://60.4.30.55:8077/rtp/239.253.93.209:6387,# 0.15MB/s | 1613ms
http://171.8.84.159:8800/rtp/239.16.20.40:10400,# 0.15MB/s | 1614ms
http://171.8.105.158:8800/rtp/239.16.10.122:2000,# 0.15MB/s | 1614ms
